,player_lines,Act No.
2235,"      And thirty dozed moons with borrowed sheen
",ACT III.
2236,"      About the world have times twelve thirties been,
",ACT III.
2237,"      Since love our hearts, and Hymen did our hands,
",ACT III.
2238,"      Unite comutual in most sacred bands.
",ACT III.
2239,"    Queen. So many journeys may the sun and moon
",ACT III.
2240,"      Make us again count o'er ere love be done!
",ACT III.
2241,"      But woe is me! you are so sick of late,
",ACT III.
2242,"      So far from cheer and from your former state.
",ACT III.
2243,"      That I distrust you. Yet, though I distrust,
",ACT III.
2244,"      Discomfort you, my lord, it nothing must;
",ACT III.
2245,"      For women's fear and love holds quantity,
",ACT III.
2246,"      In neither aught, or in extremity.
",ACT III.
2247,"      Now what my love is, proof hath made you know;
",ACT III.
2248,"      And as my love is siz'd, my fear is so.
",ACT III.
2249,"      Where love is great, the littlest doubts are fear;
",ACT III.
2250,"      Where little fears grow great, great love grows there.
",ACT III.
2251,"    King. Faith, I must leave thee, love, and shortly too;  
",ACT III.
2252,"      My operant powers their functions leave to do.
",ACT III.
2253,"      And thou shalt live in this fair world behind,
",ACT III.
2254,"      Honour'd, belov'd, and haply one as kind
",ACT III.
2255,"      For husband shalt thou-
",ACT III.
2256,"    Queen. O, confound the rest!
",ACT III.
2257,"      Such love must needs be treason in my breast.
",ACT III.
2258,"      When second husband let me be accurst!
",ACT III.
2259,"      None wed the second but who killed the first.
",ACT III.
2260,"
",ACT III.
2261,"  Ham. [aside] Wormwood, wormwood!
",ACT III.
2262,"
",ACT III.
2263,"    Queen. The instances that second marriage move
",ACT III.
2264,"      Are base respects of thrift, but none of love.
",ACT III.
2265,"      A second time I kill my husband dead
",ACT III.
2266,"      When second husband kisses me in bed.
",ACT III.
2267,"    King. I do believe you think what now you speak;
",ACT III.
2268,"      But what we do determine oft we break.
",ACT III.
2269,"      Purpose is but the slave to memory,
",ACT III.
2270,"      Of violent birth, but poor validity;
",ACT III.
2271,"      Which now, like fruit unripe, sticks on the tree,  
",ACT III.
2272,"      But fill unshaken when they mellow be.
",ACT III.
2273,"      Most necessary 'tis that we forget
",ACT III.
2274,"      To pay ourselves what to ourselves is debt.
",ACT III.
2275,"      What to ourselves in passion we propose,
",ACT III.
2276,"      The passion ending, doth the purpose lose.
",ACT III.
2277,"      The violence of either grief or joy
",ACT III.
2278,"      Their own enactures with themselves destroy.
",ACT III.
2279,"      Where joy most revels, grief doth most lament;
",ACT III.
2280,"      Grief joys, joy grieves, on slender accident.
",ACT III.
2281,"      This world is not for aye, nor 'tis not strange
",ACT III.
2282,"      That even our loves should with our fortunes change;
",ACT III.
2283,"      For 'tis a question left us yet to prove,
",ACT III.
2284,"      Whether love lead fortune, or else fortune love.
",ACT III.
2285,"      The great man down, you mark his favourite flies,
",ACT III.
2286,"      The poor advanc'd makes friends of enemies;
",ACT III.
2287,"      And hitherto doth love on fortune tend,
",ACT III.
2288,"      For who not needs shall never lack a friend,
",ACT III.
2289,"      And who in want a hollow friend doth try,
",ACT III.
2290,"      Directly seasons him his enemy.
",ACT III.
2291,"      But, orderly to end where I begun,  
",ACT III.
2292,"      Our wills and fates do so contrary run
",ACT III.
2293,"      That our devices still are overthrown;
",ACT III.
2294,"      Our thoughts are ours, their ends none of our own.
",ACT III.
2295,"      So think thou wilt no second husband wed;
",ACT III.
2296,"      But die thy thoughts when thy first lord is dead.
",ACT III.
2297,"    Queen. Nor earth to me give food, nor heaven light,
",ACT III.
2298,"      Sport and repose lock from me day and night,
",ACT III.
2299,"      To desperation turn my trust and hope,
",ACT III.
2300,"      An anchor's cheer in prison be my scope,
",ACT III.
2301,"      Each opposite that blanks the face of joy
",ACT III.
2302,"      Meet what I would have well, and it destroy,
",ACT III.
2303,"      Both here and hence pursue me lasting strife,
",ACT III.
2304,"      If, once a widow, ever I be wife!
",ACT III.
2305,"
",ACT III.
2306,"  Ham. If she should break it now!
",ACT III.
2307,"
",ACT III.
2308,"    King. 'Tis deeply sworn. Sweet, leave me here awhile.
",ACT III.
2309,"      My spirits grow dull, and fain I would beguile
",ACT III.
2310,"      The tedious day with sleep.
",ACT III.
2311,"    Queen. Sleep rock thy brain,  
",ACT III.
2312,"                                                    [He] sleeps.
",ACT III.
2313,"      And never come mischance between us twain!
",ACT III.
2314,"Exit.
",ACT III.
2315,"
",ACT III.
2316,"  Ham. Madam, how like you this play?
",ACT III.
2317,"  Queen. The lady doth protest too much, methinks.
",ACT III.
2318,"  Ham. O, but she'll keep her word.
",ACT III.
2319,"  King. Have you heard the argument? Is there no offence in't?
",ACT III.
2320,"  Ham. No, no! They do but jest, poison in jest; no offence i' th'
",ACT III.
2321,"    world.
",ACT III.
2322,"  King. What do you call the play?
",ACT III.
2323,"  Ham. 'The Mousetrap.' Marry, how? Tropically. This play is the
",ACT III.
2324,"    image of a murther done in Vienna. Gonzago is the duke's name;
",ACT III.
2325,"    his wife, Baptista. You shall see anon. 'Tis a knavish piece of
",ACT III.
2326,"    work; but what o' that? Your Majesty, and we that have free
",ACT III.
2327,"    souls, it touches us not. Let the gall'd jade winch; our withers
",ACT III.
2328,"    are unwrung.
",ACT III.
2329,"
",ACT III.
2330,"                         Enter Lucianus.
",ACT III.
2331,"  
",ACT III.
2332,"    This is one Lucianus, nephew to the King.
",ACT III.
2333,"  Oph. You are as good as a chorus, my lord.
",ACT III.
2334,"  Ham. I could interpret between you and your love, if I could see
",ACT III.
2335,"    the puppets dallying.
",ACT III.
2336,"  Oph. You are keen, my lord, you are keen.
",ACT III.
2337,"  Ham. It would cost you a groaning to take off my edge.
",ACT III.
2338,"  Oph. Still better, and worse.
",ACT III.
2339,"  Ham. So you must take your husbands.- Begin, murtherer. Pox, leave
",ACT III.
2340,"    thy damnable faces, and begin! Come, the croaking raven doth
",ACT III.
2341,"    bellow for revenge.
",ACT III.
2342,"
",ACT III.
2343,"    Luc. Thoughts black, hands apt, drugs fit, and time agreeing;
",ACT III.
2344,"      Confederate season, else no creature seeing;
",ACT III.
2345,"      Thou mixture rank, of midnight weeds collected,
",ACT III.
2346,"      With Hecate's ban thrice blasted, thrice infected,
",ACT III.
2347,"      Thy natural magic and dire property
",ACT III.
2348,"      On wholesome life usurp immediately.
",ACT III.
2349,"                                   Pours the poison in his ears.
",ACT III.
2350,"
",ACT III.
2351,"  Ham. He poisons him i' th' garden for's estate. His name's Gonzago.  
",ACT III.
2352,"    The story is extant, and written in very choice Italian. You
",ACT III.
2353,"    shall see anon how the murtherer gets the love of Gonzago's wife.
",ACT III.
2354,"  Oph. The King rises.
",ACT III.
2355,"  Ham. What, frighted with false fire?
",ACT III.
2356,"  Queen. How fares my lord?
",ACT III.
2357,"  Pol. Give o'er the play.
",ACT III.
2358,"  King. Give me some light! Away!
",ACT III.
2359,"  All. Lights, lights, lights!
",ACT III.
2360,"                              Exeunt all but Hamlet and Horatio.
",ACT III.
2361,"  Ham.   Why, let the strucken deer go weep,
",ACT III.
2362,"          The hart ungalled play;
",ACT III.
2363,"         For some must watch, while some must sleep:
",ACT III.
2364,"          Thus runs the world away.
",ACT III.
2365,"    Would not this, sir, and a forest of feathers- if the rest of my
",ACT III.
2366,"    fortunes turn Turk with me-with two Provincial roses on my raz'd
",ACT III.
2367,"    shoes, get me a fellowship in a cry of players, sir?
",ACT III.
2368,"  Hor. Half a share.
",ACT III.
2369,"  Ham.   A whole one I!
",ACT III.
2370,"         For thou dost know, O Damon dear,
",ACT III.
2371,"           This realm dismantled was  
",ACT III.
2372,"         Of Jove himself; and now reigns here
",ACT III.
2373,"           A very, very- pajock.
",ACT III.
2374,"  Hor. You might have rhym'd.
",ACT III.
2375,"  Ham. O good Horatio, I'll take the ghost's word for a thousand
",ACT III.
2376,"    pound! Didst perceive?
",ACT III.
2377,"  Hor. Very well, my lord.
",ACT III.
2378,"  Ham. Upon the talk of the poisoning?
",ACT III.
2379,"  Hor. I did very well note him.
",ACT III.
2380,"  Ham.   Aha! Come, some music! Come, the recorders!
",ACT III.
2381,"         For if the King like not the comedy,
",ACT III.
2382,"         Why then, belike he likes it not, perdy.
",ACT III.
2383,"    Come, some music!
",ACT III.
2384,"
",ACT III.
2385,"                Enter Rosencrantz and Guildenstern.
",ACT III.
2386,"
",ACT III.
2387,"  Guil. Good my lord, vouchsafe me a word with you.
",ACT III.
2388,"  Ham. Sir, a whole history.
",ACT III.
2389,"  Guil. The King, sir-
",ACT III.
2390,"  Ham. Ay, sir, what of him?
",ACT III.
2391,"  Guil. Is in his retirement, marvellous distemper'd.  
",ACT III.
2392,"  Ham. With drink, sir?
",ACT III.
2393,"  Guil. No, my lord; rather with choler.
",ACT III.
2394,"  Ham. Your wisdom should show itself more richer to signify this to
",ACT III.
2395,"    the doctor; for me to put him to his purgation would perhaps
",ACT III.
2396,"    plunge him into far more choler.
",ACT III.
2397,"  Guil. Good my lord, put your discourse into some frame, and start
",ACT III.
2398,"    not so wildly from my affair.
",ACT III.
2399,"  Ham. I am tame, sir; pronounce.
",ACT III.
2400,"  Guil. The Queen, your mother, in most great affliction of spirit
",ACT III.
2401,"    hath sent me to you.
",ACT III.
2402,"  Ham. You are welcome.
",ACT III.
2403,"  Guil. Nay, good my lord, this courtesy is not of the right breed.
",ACT III.
2404,"    If it shall please you to make me a wholesome answer, I will do
",ACT III.
2405,"    your mother's commandment; if not, your pardon and my return
",ACT III.
2406,"    shall be the end of my business.
",ACT III.
2407,"  Ham. Sir, I cannot.
",ACT III.
2408,"  Guil. What, my lord?
",ACT III.
2409,"  Ham. Make you a wholesome answer; my wit's diseas'd. But, sir, such
",ACT III.
2410,"    answer is I can make, you shall command; or rather, as you say,
",ACT III.
2411,"    my mother. Therefore no more, but to the matter! My mother, you  
",ACT III.
2412,"    say-
",ACT III.
2413,"  Ros. Then thus she says: your behaviour hath struck her into
",ACT III.
2414,"    amazement and admiration.
",ACT III.
2415,"  Ham. O wonderful son, that can so stonish a mother! But is there no
",ACT III.
2416,"    sequel at the heels of this mother's admiration? Impart.
",ACT III.
2417,"  Ros. She desires to speak with you in her closet ere you go to bed.
",ACT III.
2418,"  Ham. We shall obey, were she ten times our mother. Have you any
",ACT III.
2419,"    further trade with us?
",ACT III.
2420,"  Ros. My lord, you once did love me.
",ACT III.
2421,"  Ham. And do still, by these pickers and stealers!
",ACT III.
2422,"  Ros. Good my lord, what is your cause of distemper? You do surely
",ACT III.
2423,"    bar the door upon your own liberty, if you deny your griefs to
",ACT III.
2424,"    your friend.
",ACT III.
2425,"  Ham. Sir, I lack advancement.
",ACT III.
2426,"  Ros. How can that be, when you have the voice of the King himself
",ACT III.
2427,"    for your succession in Denmark?
",ACT III.
2428,"  Ham. Ay, sir, but 'while the grass grows'- the proverb is something
",ACT III.
2429,"    musty.
",ACT III.
2430,"
",ACT III.
2431,"                     Enter the Players with recorders.  
",ACT III.
2432,"
",ACT III.
2433,"    O, the recorders! Let me see one. To withdraw with you- why do
",ACT III.
2434,"    you go about to recover the wind of me, as if you would drive me
",ACT III.
2435,"    into a toil?
",ACT III.
2436,"  Guil. O my lord, if my duty be too bold, my love is too unmannerly.
",ACT III.
2437,"  Ham. I do not well understand that. Will you play upon this pipe?
",ACT III.
2438,"  Guil. My lord, I cannot.
",ACT III.
2439,"  Ham. I pray you.
",ACT III.
2440,"  Guil. Believe me, I cannot.
",ACT III.
2441,"  Ham. I do beseech you.
",ACT III.
2442,"  Guil. I know, no touch of it, my lord.
",ACT III.
2443,"  Ham. It is as easy as lying. Govern these ventages with your
",ACT III.
2444,"    fingers and thumbs, give it breath with your mouth, and it will
",ACT III.
2445,"    discourse most eloquent music. Look you, these are the stops.
",ACT III.
2446,"  Guil. But these cannot I command to any utt'rance of harmony. I
",ACT III.
2447,"    have not the skill.
",ACT III.
2448,"  Ham. Why, look you now, how unworthy a thing you make of me! You
",ACT III.
2449,"    would play upon me; you would seem to know my stops; you would
",ACT III.
2450,"    pluck out the heart of my mystery; you would sound me from my
",ACT III.
2451,"    lowest note to the top of my compass; and there is much music,  
",ACT III.
2452,"    excellent voice, in this little organ, yet cannot you make it
",ACT III.
2453,"    speak. 'Sblood, do you think I am easier to be play'd on than a
",ACT III.
2454,"    pipe? Call me what instrument you will, though you can fret me,
",ACT III.
2455,"    you cannot play upon me.
",ACT III.
2456,"
",ACT III.
2457,"                        Enter Polonius.
",ACT III.
2458,"
",ACT III.
2459,"    God bless you, sir!
",ACT III.
2460,"  Pol. My lord, the Queen would speak with you, and presently.
",ACT III.
2461,"  Ham. Do you see yonder cloud that's almost in shape of a camel?
",ACT III.
2462,"  Pol. By th' mass, and 'tis like a camel indeed.
",ACT III.
2463,"  Ham. Methinks it is like a weasel.
",ACT III.
2464,"  Pol. It is back'd like a weasel.
",ACT III.
2465,"  Ham. Or like a whale.
",ACT III.
2466,"  Pol. Very like a whale.
",ACT III.
2467,"  Ham. Then will I come to my mother by-and-by.- They fool me to the
",ACT III.
2468,"    top of my bent.- I will come by-and-by.
",ACT III.
2469,"  Pol. I will say so.                                      Exit.
",ACT III.
2470,"  Ham. 'By-and-by' is easily said.- Leave me, friends.
",ACT III.
2471,"                                        [Exeunt all but Hamlet.]  
",ACT III.
2472,"    'Tis now the very witching time of night,
",ACT III.
2473,"    When churchyards yawn, and hell itself breathes out
",ACT III.
2474,"    Contagion to this world. Now could I drink hot blood
",ACT III.
2475,"    And do such bitter business as the day
",ACT III.
2476,"    Would quake to look on. Soft! now to my mother!
",ACT III.
2477,"    O heart, lose not thy nature; let not ever
",ACT III.
2478,"    The soul of Nero enter this firm bosom.
",ACT III.
2479,"    Let me be cruel, not unnatural;
",ACT III.
2480,"    I will speak daggers to her, but use none.
",ACT III.
2481,"    My tongue and soul in this be hypocrites-
",ACT III.
2482,"    How in my words somever she be shent,
",ACT III.
2483,"    To give them seals never, my soul, consent!             Exit.
",ACT III.
2484,"
",ACT III.
2485,"
",ACT III.
2486,"
",ACT III.
2487,"
",ACT III.
2488,"Scene III.
",ACT III.
2489,"A room in the Castle.
",ACT III.
2490,"
",ACT III.
2491,"Enter King, Rosencrantz, and Guildenstern.
",ACT III.
2492,"
",ACT III.
2493,"  King. I like him not, nor stands it safe with us
",ACT III.
2494,"    To let his madness range. Therefore prepare you;
",ACT III.
2495,"    I your commission will forthwith dispatch,
",ACT III.
2496,"    And he to England shall along with you.
",ACT III.
2497,"    The terms of our estate may not endure
",ACT III.
2498,"    Hazard so near us as doth hourly grow
",ACT III.
2499,"    Out of his lunacies.
",ACT III.
2500,"  Guil. We will ourselves provide.
",ACT III.
2501,"    Most holy and religious fear it is
",ACT III.
2502,"    To keep those many many bodies safe
",ACT III.
2503,"    That live and feed upon your Majesty.
",ACT III.
2504,"  Ros. The single and peculiar life is bound
",ACT III.
2505,"    With all the strength and armour of the mind
",ACT III.
2506,"    To keep itself from noyance; but much more
",ACT III.
2507,"    That spirit upon whose weal depends and rests
",ACT III.
2508,"    The lives of many. The cesse of majesty
",ACT III.
2509,"    Dies not alone, but like a gulf doth draw  
",ACT III.
2510,"    What's near it with it. It is a massy wheel,
",ACT III.
2511,"    Fix'd on the summit of the highest mount,
",ACT III.
2512,"    To whose huge spokes ten thousand lesser things
",ACT III.
2513,"    Are mortis'd and adjoin'd; which when it falls,
",ACT III.
2514,"    Each small annexment, petty consequence,
",ACT III.
2515,"    Attends the boist'rous ruin. Never alone
",ACT III.
2516,"    Did the king sigh, but with a general groan.
",ACT III.
2517,"  King. Arm you, I pray you, to th', speedy voyage;
",ACT III.
2518,"    For we will fetters put upon this fear,
",ACT III.
2519,"    Which now goes too free-footed.
",ACT III.
2520,"  Both. We will haste us.
",ACT III.
2521,"                                               Exeunt Gentlemen.
",ACT III.
2522,"
",ACT III.
2523,"                   Enter Polonius.
",ACT III.
2524,"
",ACT III.
2525,"  Pol. My lord, he's going to his mother's closet.
",ACT III.
2526,"    Behind the arras I'll convey myself
",ACT III.
2527,"    To hear the process. I'll warrant she'll tax him home;
",ACT III.
2528,"    And, as you said, and wisely was it said,
",ACT III.
2529,"    'Tis meet that some more audience than a mother,  
",ACT III.
2530,"    Since nature makes them partial, should o'erhear
",ACT III.
2531,"    The speech, of vantage. Fare you well, my liege.
",ACT III.
2532,"    I'll call upon you ere you go to bed
",ACT III.
2533,"    And tell you what I know.
",ACT III.
2534,"  King. Thanks, dear my lord.
",ACT III.
2535,"                                                Exit [Polonius].
",ACT III.
2536,"    O, my offence is rank, it smells to heaven;
",ACT III.
2537,"    It hath the primal eldest curse upon't,
",ACT III.
2538,"    A brother's murther! Pray can I not,
",ACT III.
2539,"    Though inclination be as sharp as will.
",ACT III.
2540,"    My stronger guilt defeats my strong intent,
",ACT III.
2541,"    And, like a man to double business bound,
",ACT III.
2542,"    I stand in pause where I shall first begin,
",ACT III.
2543,"    And both neglect. What if this cursed hand
",ACT III.
2544,"    Were thicker than itself with brother's blood,
",ACT III.
2545,"    Is there not rain enough in the sweet heavens
",ACT III.
2546,"    To wash it white as snow? Whereto serves mercy
",ACT III.
2547,"    But to confront the visage of offence?
",ACT III.
2548,"    And what's in prayer but this twofold force,
",ACT III.
2549,"    To be forestalled ere we come to fall,  
",ACT III.
2550,"    Or pardon'd being down? Then I'll look up;
",ACT III.
2551,"    My fault is past. But, O, what form of prayer
",ACT III.
2552,"    Can serve my turn? 'Forgive me my foul murther'?
",ACT III.
2553,"    That cannot be; since I am still possess'd
",ACT III.
2554,"    Of those effects for which I did the murther-
",ACT III.
2555,"    My crown, mine own ambition, and my queen.
",ACT III.
2556,"    May one be pardon'd and retain th' offence?
",ACT III.
2557,"    In the corrupted currents of this world
",ACT III.
2558,"    Offence's gilded hand may shove by justice,
",ACT III.
2559,"    And oft 'tis seen the wicked prize itself
",ACT III.
2560,"    Buys out the law; but 'tis not so above.
",ACT III.
2561,"    There is no shuffling; there the action lies
",ACT III.
2562,"    In his true nature, and we ourselves compell'd,
",ACT III.
2563,"    Even to the teeth and forehead of our faults,
",ACT III.
2564,"    To give in evidence. What then? What rests?
",ACT III.
2565,"    Try what repentance can. What can it not?
",ACT III.
2566,"    Yet what can it when one cannot repent?
",ACT III.
2567,"    O wretched state! O bosom black as death!
",ACT III.
2568,"    O limed soul, that, struggling to be free,
",ACT III.
2569,"    Art more engag'd! Help, angels! Make assay.  
",ACT III.
2570,"    Bow, stubborn knees; and heart with strings of steel,
",ACT III.
2571,"    Be soft as sinews of the new-born babe!
",ACT III.
2572,"    All may be well.                                  He kneels.
",ACT III.
2573,"
",ACT III.
2574,"                         Enter Hamlet.
",ACT III.
2575,"
",ACT III.
2576,"  Ham. Now might I do it pat, now he is praying;
",ACT III.
2577,"    And now I'll do't. And so he goes to heaven,
",ACT III.
2578,"    And so am I reveng'd. That would be scann'd.
",ACT III.
2579,"    A villain kills my father; and for that,
",ACT III.
2580,"    I, his sole son, do this same villain send
",ACT III.
2581,"    To heaven.
",ACT III.
2582,"    Why, this is hire and salary, not revenge!
",ACT III.
2583,"    He took my father grossly, full of bread,
",ACT III.
2584,"    With all his crimes broad blown, as flush as May;
",ACT III.
2585,"    And how his audit stands, who knows save heaven?
",ACT III.
2586,"    But in our circumstance and course of thought,
",ACT III.
2587,"    'Tis heavy with him; and am I then reveng'd,
",ACT III.
2588,"    To take him in the purging of his soul,
",ACT III.
2589,"    When he is fit and seasoned for his passage?  
",ACT III.
2590,"    No.
",ACT III.
2591,"    Up, sword, and know thou a more horrid hent.
",ACT III.
2592,"    When he is drunk asleep; or in his rage;
",ACT III.
2593,"    Or in th' incestuous pleasure of his bed;
",ACT III.
2594,"    At gaming, swearing, or about some act
",ACT III.
2595,"    That has no relish of salvation in't-
",ACT III.
2596,"    Then trip him, that his heels may kick at heaven,
",ACT III.
2597,"    And that his soul may be as damn'd and black
",ACT III.
2598,"    As hell, whereto it goes. My mother stays.
",ACT III.
2599,"    This physic but prolongs thy sickly days.              Exit.
",ACT III.
2600,"  King. [rises] My words fly up, my thoughts remain below.
",ACT III.
2601,"    Words without thoughts never to heaven go.             Exit.
",ACT III.
2602,"
",ACT III.
2603,"
",ACT III.
2604,"
",ACT III.
2605,"
",ACT III.
2606,"Scene IV.
",ACT III.
2607,"The Queen's closet.
",ACT III.
2608,"
",ACT III.
2609,"Enter Queen and Polonius.
",ACT III.
2610,"
",ACT III.
2611,"  Pol. He will come straight. Look you lay home to him.
",ACT III.
2612,"    Tell him his pranks have been too broad to bear with,
",ACT III.
2613,"    And that your Grace hath screen'd and stood between
",ACT III.
2614,"    Much heat and him. I'll silence me even here.
",ACT III.
2615,"    Pray you be round with him.
",ACT III.
2616,"  Ham. (within) Mother, mother, mother!
",ACT III.
2617,"  Queen. I'll warrant you; fear me not. Withdraw; I hear him coming.
",ACT III.
2618,"                              [Polonius hides behind the arras.]
",ACT III.
2619,"
",ACT III.
2620,"                          Enter Hamlet.
",ACT III.
2621,"
",ACT III.
2622,"  Ham. Now, mother, what's the matter?
",ACT III.
2623,"  Queen. Hamlet, thou hast thy father much offended.
",ACT III.
2624,"  Ham. Mother, you have my father much offended.
",ACT III.
2625,"  Queen. Come, come, you answer with an idle tongue.
",ACT III.
2626,"  Ham. Go, go, you question with a wicked tongue.
",ACT III.
2627,"  Queen. Why, how now, Hamlet?  
",ACT III.
2628,"  Ham. What's the matter now?
",ACT III.
2629,"  Queen. Have you forgot me?
",ACT III.
2630,"  Ham. No, by the rood, not so!
",ACT III.
2631,"    You are the Queen, your husband's brother's wife,
",ACT III.
2632,"    And (would it were not so!) you are my mother.
",ACT III.
2633,"  Queen. Nay, then I'll set those to you that can speak.
",ACT III.
2634,"  Ham. Come, come, and sit you down. You shall not budge I
",ACT III.
2635,"    You go not till I set you up a glass
",ACT III.
2636,"    Where you may see the inmost part of you.
",ACT III.
2637,"  Queen. What wilt thou do? Thou wilt not murther me?
",ACT III.
2638,"    Help, help, ho!
",ACT III.
2639,"  Pol. [behind] What, ho! help, help, help!
",ACT III.
2640,"  Ham. [draws] How now? a rat? Dead for a ducat, dead!
",ACT III.
2641,"            [Makes a pass through the arras and] kills Polonius.
",ACT III.
2642,"  Pol. [behind] O, I am slain!
",ACT III.
2643,"  Queen. O me, what hast thou done?
",ACT III.
2644,"  Ham. Nay, I know not. Is it the King?
",ACT III.
2645,"  Queen. O, what a rash and bloody deed is this!
",ACT III.
2646,"  Ham. A bloody deed- almost as bad, good mother,
",ACT III.
2647,"    As kill a king, and marry with his brother.  
",ACT III.
2648,"  Queen. As kill a king?
",ACT III.
2649,"  Ham. Ay, lady, it was my word.
",ACT III.
2650,"                         [Lifts up the arras and sees Polonius.]
",ACT III.
2651,"    Thou wretched, rash, intruding fool, farewell!
",ACT III.
2652,"    I took thee for thy better. Take thy fortune.
",ACT III.
2653,"    Thou find'st to be too busy is some danger.
",ACT III.
2654,"    Leave wringing of your hinds. Peace! sit you down
",ACT III.
2655,"    And let me wring your heart; for so I shall
",ACT III.
2656,"    If it be made of penetrable stuff;
",ACT III.
2657,"    If damned custom have not braz'd it so
",ACT III.
2658,"    That it is proof and bulwark against sense.
",ACT III.
2659,"  Queen. What have I done that thou dar'st wag thy tongue
",ACT III.
2660,"    In noise so rude against me?
",ACT III.
2661,"  Ham. Such an act
",ACT III.
2662,"    That blurs the grace and blush of modesty;
",ACT III.
2663,"    Calls virtue hypocrite; takes off the rose
",ACT III.
2664,"    From the fair forehead of an innocent love,
",ACT III.
2665,"    And sets a blister there; makes marriage vows
",ACT III.
2666,"    As false as dicers' oaths. O, such a deed
",ACT III.
2667,"    As from the body of contraction plucks  
",ACT III.
2668,"    The very soul, and sweet religion makes
",ACT III.
2669,"    A rhapsody of words! Heaven's face doth glow;
",ACT III.
2670,"    Yea, this solidity and compound mass,
",ACT III.
2671,"    With tristful visage, as against the doom,
",ACT III.
2672,"    Is thought-sick at the act.
",ACT III.
2673,"  Queen. Ay me, what act,
",ACT III.
2674,"    That roars so loud and thunders in the index?
",ACT III.
2675,"  Ham. Look here upon th's picture, and on this,
",ACT III.
2676,"    The counterfeit presentment of two brothers.
",ACT III.
2677,"    See what a grace was seated on this brow;
",ACT III.
2678,"    Hyperion's curls; the front of Jove himself;
",ACT III.
2679,"    An eye like Mars, to threaten and command;
",ACT III.
2680,"    A station like the herald Mercury
",ACT III.
2681,"    New lighted on a heaven-kissing hill:
",ACT III.
2682,"    A combination and a form indeed
",ACT III.
2683,"    Where every god did seem to set his seal
",ACT III.
2684,"    To give the world assurance of a man.
",ACT III.
2685,"    This was your husband. Look you now what follows.
",ACT III.
2686,"    Here is your husband, like a mildew'd ear
",ACT III.
2687,"    Blasting his wholesome brother. Have you eyes?  
",ACT III.
2688,"    Could you on this fair mountain leave to feed,
",ACT III.
2689,"    And batten on this moor? Ha! have you eyes
",ACT III.
2690,"    You cannot call it love; for at your age
",ACT III.
2691,"    The heyday in the blood is tame, it's humble,
",ACT III.
2692,"    And waits upon the judgment; and what judgment
",ACT III.
2693,"    Would step from this to this? Sense sure you have,
",ACT III.
2694,"    Else could you not have motion; but sure that sense
",ACT III.
2695,"    Is apoplex'd; for madness would not err,
",ACT III.
2696,"    Nor sense to ecstacy was ne'er so thrall'd
",ACT III.
2697,"    But it reserv'd some quantity of choice
",ACT III.
2698,"    To serve in such a difference. What devil was't
",ACT III.
2699,"    That thus hath cozen'd you at hoodman-blind?
",ACT III.
2700,"    Eyes without feeling, feeling without sight,
",ACT III.
2701,"    Ears without hands or eyes, smelling sans all,
",ACT III.
2702,"    Or but a sickly part of one true sense
",ACT III.
2703,"    Could not so mope.
",ACT III.
2704,"    O shame! where is thy blush? Rebellious hell,
",ACT III.
2705,"    If thou canst mutine in a matron's bones,
",ACT III.
2706,"    To flaming youth let virtue be as wax
",ACT III.
2707,"    And melt in her own fire. Proclaim no shame  
",ACT III.
2708,"    When the compulsive ardour gives the charge,
",ACT III.
2709,"    Since frost itself as actively doth burn,
",ACT III.
2710,"    And reason panders will.
",ACT III.
2711,"  Queen. O Hamlet, speak no more!
",ACT III.
2712,"    Thou turn'st mine eyes into my very soul,
",ACT III.
2713,"    And there I see such black and grained spots
",ACT III.
2714,"    As will not leave their tinct.
",ACT III.
2715,"  Ham. Nay, but to live
",ACT III.
2716,"    In the rank sweat of an enseamed bed,
",ACT III.
2717,"    Stew'd in corruption, honeying and making love
",ACT III.
2718,"    Over the nasty sty!
",ACT III.
2719,"  Queen. O, speak to me no more!
",ACT III.
2720,"    These words like daggers enter in mine ears.
",ACT III.
2721,"    No more, sweet Hamlet!
",ACT III.
2722,"  Ham. A murtherer and a villain!
",ACT III.
2723,"    A slave that is not twentieth part the tithe
",ACT III.
2724,"    Of your precedent lord; a vice of kings;
",ACT III.
2725,"    A cutpurse of the empire and the rule,
",ACT III.
2726,"    That from a shelf the precious diadem stole
",ACT III.
2727,"    And put it in his pocket!  
",ACT III.
2728,"  Queen. No more!
",ACT III.
2729,"
",ACT III.
2730,"                Enter the Ghost in his nightgown.
",ACT III.
2731,"
",ACT III.
2732,"  Ham. A king of shreds and patches!-
",ACT III.
2733,"    Save me and hover o'er me with your wings,
",ACT III.
2734,"    You heavenly guards! What would your gracious figure?
",ACT III.
2735,"  Queen. Alas, he's mad!
",ACT III.
2736,"  Ham. Do you not come your tardy son to chide,
",ACT III.
2737,"    That, laps'd in time and passion, lets go by
",ACT III.
2738,"    Th' important acting of your dread command?
",ACT III.
2739,"    O, say!
",ACT III.
2740,"  Ghost. Do not forget. This visitation
",ACT III.
2741,"    Is but to whet thy almost blunted purpose.
",ACT III.
2742,"    But look, amazement on thy mother sits.
",ACT III.
2743,"    O, step between her and her fighting soul
",ACT III.
2744,"    Conceit in weakest bodies strongest works.
",ACT III.
2745,"    Speak to her, Hamlet.
",ACT III.
2746,"  Ham. How is it with you, lady?
",ACT III.
2747,"  Queen. Alas, how is't with you,  
",ACT III.
2748,"    That you do bend your eye on vacancy,
",ACT III.
